id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
67,1,2,331,280,330,292,15.0,0,0,0,0,0
68,1,2,330,292,330,306,15.0,0,0,0,0,0
69,1,2,330,306,329,316,15.0,0,0,0,0,0
70,1,2,329,316,329,322,15.0,0,0,0,0,0
71,1,2,329,322,328,330,15.0,0,0,0,0,0
72,1,2,328,330,327,341,15.0,0,0,0,0,0
73,1,2,327,341,324,348,15.0,0,0,0,0,0
74,1,2,324,348,319,363,15.0,0,0,0,0,0
75,1,2,319,363,316,372,15.0,0,0,0,0,0
76,1,2,316,372,310,392,15.0,0,0,0,0,0
77,1,2,310,392,308,399,15.0,0,0,0,0,0
78,1,2,308,399,306,408,15.0,0,0,0,0,0
79,1,2,306,408,305,413,9.3267,0,0,0,0,0
80,1,2,305,413,303,415,5.4761324,0,0,0,0,0
81,1,3,213,275,216,276,6.0535955,0,0,0,0,0
82,1,3,216,276,220,276,6.2745695,0,0,0,0,0
83,1,3,220,276,224,276,6.628617,0,0,0,0,0
84,1,3,224,276,227,275,7.0058603,0,0,0,0,0
85,1,3,227,275,230,274,7.789647,0,0,0,0,0
86,1,3,230,274,232,272,8.43914,0,0,0,0,0
87,1,3,232,272,235,271,8.647906,0,0,0,0,0
88,1,3,235,271,238,269,8.99585,0,0,0,0,0
89,1,3,238,269,242,267,9.064217,0,0,0,0,0
90,1,3,242,267,245,265,9.099621,0,0,0,0,0
91,1,3,245,265,249,263,9.12648,0,0,0,0,0
92,1,3,249,263,255,261,9.148456,0,0,0,0,0
93,1,3,255,261,260,257,9.181419,0,0,0,0,0
94,1,3,260,257,266,253,9.381639,0,0,0,0,0
95,1,3,266,253,272,249,9.517153,0,0,0,0,0
96,1,3,272,249,279,245,9.647784,0,0,0,0,0
97,1,3,279,245,285,241,9.705164,0,0,0,0,0
98,1,3,285,241,289,239,9.723476,0,0,0,0,0
99,1,3,289,239,296,235,9.739347,0,0,0,0,0
100,1,3,296,235,302,232,9.753998,0,0,0,0,0
101,1,3,302,232,307,228,9.764986,0,0,0,0,0
102,1,3,307,228,309,226,9.762545,0,0,0,0,0
103,1,3,309,226,313,223,9.763765,0,0,0,0,0
104,1,3,313,223,316,221,9.7832985,0,0,0,0,0
105,1,3,316,221,320,219,9.772311,0,0,0,0,0
